attack,victim,session,session_id,checkpoint,decision_id,action,risk,confidence,top_channel,constraints,transfer_status,round_trip_ms,handler_ms,read_ms,score_ms,write_ms,publish_ms,workflow_ms
bot,s002,2,sim-269f2393b52f747bfd669ac47ce0985e,amount,ef869fe3ba814437ab7bdeb2bb425521,step_up,99.95,0.8798,automation,friction_ceiling,,117.3,24.7,4.4,0.2,9.8,10.0,
bot,s002,2,sim-269f2393b52f747bfd669ac47ce0985e,confirmation,17b8916dfa2c4da59180691bb5a9489f,step_up,99.98,0.9135,automation,friction_ceiling,awaiting_step_up,162.9,54.6,4.8,0.2,16.3,9.8,23.4
bot,s002,3,sim-8a9461cc2936d82f3eb0f094d29b607c,login,0e8d511cda5b4ce1b0d35ce01655d10d,step_up,93.99,0.4375,automation,friction_ceiling,,127.8,29.3,4.1,0.1,15.4,9.5,
bot,s002,3,sim-8a9461cc2936d82f3eb0f094d29b607c,payee,c5b2a5abbe6d49c3bed71192c3cd9194,step_up,99.87,0.5865,automation,friction_ceiling,,124.2,34.4,4.5,0.1,19.9,9.7,
bot,s002,3,sim-8a9461cc2936d82f3eb0f094d29b607c,amount,9f52ff8e801446958ec7b9fc614f5bf1,step_up,99.95,0.8798,automation,friction_ceiling,,140.6,28.9,4.7,0.2,14.7,9.1,
bot,s002,3,sim-8a9461cc2936d82f3eb0f094d29b607c,confirmation,7f2bc30c84cd41acac4d3ccec2b2ae78,step_up,99.98,0.9135,automation,friction_ceiling,awaiting_step_up,265.6,178.2,4.9,0.2,16.1,9.3,147.6
bot,s002,4,sim-cd8b4272f8e177cd9ee6e21dad9f74ed,login,001d89f049b542f7a5a553c1f185561e,step_up,93.99,0.4375,automation,friction_ceiling,,129.4,23.4,4.0,0.1,9.4,9.7,
bot,s002,4,sim-cd8b4272f8e177cd9ee6e21dad9f74ed,payee,b814673891c740ee9f18c5ae37553ab3,step_up,99.87,0.5865,automation,friction_ceiling,,141.9,29.1,4.5,0.1,14.4,10.0,
bot,s002,4,sim-cd8b4272f8e177cd9ee6e21dad9f74ed,amount,0605d149987e4d1fa5ce6ea6b2373265,step_up,99.95,0.8798,automation,friction_ceiling,,168.1,33.1,6.3,0.2,10.8,15.5,
bot,s002,4,sim-cd8b4272f8e177cd9ee6e21dad9f74ed,confirmation,beb99c1caa0e4f5bbbb241ca6d7bf02d,step_up,99.98,0.9135,automation,friction_ceiling,awaiting_step_up,141.4,51.7,4.8,0.2,10.2,10.0,26.3
replay,s002,0,sim-43c004bc294a393fca0032d8bdc115cd,login,c1277e7b8dd94b318cd76973e81d0c46,allow,9.53,0.4375,behaviour,,,109.6,22.7,4.1,0.1,9.4,8.9,
replay,s002,0,sim-43c004bc294a393fca0032d8bdc115cd,payee,9758594852b04363870d35716e78092b,monitor,29.94,0.5865,behaviour,,,108.0,23.4,4.2,0.1,9.5,9.4,
replay,s002,0,sim-43c004bc294a393fca0032d8bdc115cd,amount,02f915aaa9034685bcd5ea7cdd9768cd,step_up,47.08,0.8798,behaviour,,,113.2,24.6,4.5,0.2,10.2,9.5,
replay,s002,0,sim-43c004bc294a393fca0032d8bdc115cd,confirmation,86c7c6a6212147de92fb7ea97d1fdddc,step_up,67.87,0.9135,behaviour,friction_ceiling,awaiting_step_up,223.3,62.3,5.0,0.2,18.9,10.5,27.4
replay,s002,1,sim-74d479b878874fd8193d73f12ccca2d7,login,8128fd51d85a4d6a8d2e69ccdfb5df31,allow,2.53,0.4375,automation,,,351.9,28.1,4.0,0.1,14.7,9.1,
replay,s002,1,sim-74d479b878874fd8193d73f12ccca2d7,payee,9bdac81b9845402885aea8ec16178828,allow,4.09,0.5865,behaviour,,,145.4,27.5,4.1,0.1,12.8,10.2,
replay,s002,1,sim-74d479b878874fd8193d73f12ccca2d7,amount,28a7c94e72234d4da933cacf1576cdc4,allow,2.83,0.8798,behaviour,,,118.4,30.2,4.5,0.2,15.8,9.5,
replay,s002,1,sim-74d479b878874fd8193d73f12ccca2d7,confirmation,d21d5842451945bdaacc2795ac70578a,allow,2.65,0.9135,behaviour,,processing,157.9,68.2,5.1,0.2,16.0,15.3,31.5
replay,s002,2,sim-5b58fe73eace28d39d20b3715d117dcb,login,1a1012b7b5054ba2a5bd7ddfb5083491,allow,2.18,0.4375,automation,,,120.9,27.9,3.9,0.1,10.6,13.0,
replay,s002,2,sim-5b58fe73eace28d39d20b3715d117dcb,payee,e2af786ced0f4d66944c6043f6cb8772,allow,1.12,0.5865,automation,,,147.5,24.3,4.4,0.1,9.3,10.2,
replay,s002,2,sim-5b58fe73eace28d39d20b3715d117dcb,amount,d9bee008f1bc4dbaa209981fe481abe3,allow,0.45,0.8798,automation,,,114.1,26.6,4.6,0.2,10.6,11.0,
replay,s002,2,sim-5b58fe73eace28d39d20b3715d117dcb,confirmation,838b55e12cd64a32bec3dbd5d90f458a,allow,0.28,0.9135,behaviour,,processing,143.9,56.7,5.2,0.2,15.2,9.7,26.2
replay,s002,3,sim-f04c5032667777e2b7e28f57ac9f68ac,login,303a08fa82e840c9bcbd7779a696df5d,allow,2.29,0.4375,automation,,,138.3,26.3,4.1,0.1,12.2,9.6,
replay,s002,3,sim-f04c5032667777e2b7e28f57ac9f68ac,payee,00b8e91e9c21410aa31215d45cfa7558,allow,2.13,0.5865,automation,,,116.1,28.6,4.0,0.1,14.3,10.0,
replay,s002,3,sim-f04c5032667777e2b7e28f57ac9f68ac,amount,6e6c9fd011b64a95a81945516ecafd54,allow,9.41,0.8798,behaviour,,,122.7,25.0,4.5,0.2,10.3,9.8,
replay,s002,3,sim-f04c5032667777e2b7e28f57ac9f68ac,confirmation,98591a75ad6445b5b9cae7ca20ef5f23,allow,3.52,0.9135,behaviour,,processing,154.4,61.7,4.8,0.2,11.9,14.0,30.7
replay,s002,4,sim-7f9293deee4483f65996e632ba4ffd62,login,9bbbda6bfcae45b8a239da514b64473e,allow,1.82,0.4375,automation,,,116.9,29.2,4.3,0.1,14.6,10.0,
replay,s002,4,sim-7f9293deee4483f65996e632ba4ffd62,payee,d587e83c28324708a147888a1b20038f,allow,1.04,0.5865,automation,,,118.4,35.1,4.3,0.1,10.4,20.0,
replay,s002,4,sim-7f9293deee4483f65996e632ba4ffd62,amount,3f25cca07ae4448fb4faf2845f85c74f,allow,0.31,0.8798,behaviour,,,126.1,32.8,4.7,0.2,18.0,9.7,
replay,s002,4,sim-7f9293deee4483f65996e632ba4ffd62,confirmation,e2208a2e440f44dea967e0d9518a0d23,allow,0.32,0.9135,behaviour,,processing,145.8,53.8,4.9,0.2,12.0,9.5,27.0
poisoning,s002,0,sim-2d0056a0e12812e3866c56e4c439a3e7,login,61f1b121c03b4d17a1e0d4ebd02fb7a3,allow,4.28,0.4375,behaviour,,,116.2,22.9,4.0,0.1,9.3,9.1,
poisoning,s002,0,sim-2d0056a0e12812e3866c56e4c439a3e7,payee,b6a4a29e797e4d1a8bdbc923b355cd64,allow,14.72,0.5865,behaviour,,,133.5,23.3,4.2,0.1,9.3,9.4,
poisoning,s002,0,sim-2d0056a0e12812e3866c56e4c439a3e7,amount,be81a2789ed4408a945a9557c84e1cc2,monitor,26.94,0.8798,behaviour,,,143.2,33.6,4.6,0.2,19.2,9.5,
poisoning,s002,0,sim-2d0056a0e12812e3866c56e4c439a3e7,confirmation,8a80093150b1402ab7382bcc75eff17a,step_up,61.1,0.9135,behaviour,,awaiting_step_up,177.0,89.0,4.6,0.2,20.7,32.9,30.4
poisoning,s002,1,sim-a419e5cf288ee9844a25fa69825377e4,login,8bf05cbc7a9b44649c83bda363bdbff4,allow,8.74,0.4375,behaviour,,,166.8,24.1,4.1,0.1,10.0,9.7,
poisoning,s002,1,sim-a419e5cf288ee9844a25fa69825377e4,payee,c805567b36274433be1e77fe1f8a7534,allow,17.89,0.5865,behaviour,,,1130.9,29.4,4.3,0.1,15.3,9.5,
poisoning,s002,1,sim-a419e5cf288ee9844a25fa69825377e4,amount,22dfc159c5f64b0e999d19ca7f79ca66,allow,17.03,0.8798,behaviour,,,206.1,36.1,5.1,0.2,20.3,10.3,
poisoning,s002,1,sim-a419e5cf288ee9844a25fa69825377e4,confirmation,927aeacbb7f045dbabf735aabf45f85d,step_up,54.86,0.9135,behaviour,,awaiting_step_up,193.9,56.6,5.8,0.2,10.9,9.8,29.7
poisoning,s002,2,sim-0780c590c363909045eec3e5f12a750f,login,1e2ca0d82ab845e0a4fe29e1dcf50976,allow,9.53,0.4375,behaviour,,,142.1,25.3,4.2,0.1,10.1,10.7,
poisoning,s002,2,sim-0780c590c363909045eec3e5f12a750f,payee,8067fec0a5d14cdc951319a01c6e3d2d,monitor,29.94,0.5865,behaviour,,,140.0,24.8,4.1,0.1,11.2,9.2,
poisoning,s002,2,sim-0780c590c363909045eec3e5f12a750f,amount,54db053494534c18b51b09b7a2cad367,step_up,54.36,0.8798,behaviour,,,157.4,30.9,4.3,0.1,17.0,9.2,
poisoning,s002,2,sim-0780c590c363909045eec3e5f12a750f,confirmation,b236a1e55bef4b1a91ecd60f2b246be7,step_up,77.29,0.9135,behaviour,friction_ceiling,awaiting_step_up,189.1,48.5,4.5,0.2,9.9,8.9,24.9
poisoning,s002,3,sim-eacdfda80c0fc59ba31b2831746ed65c,login,19724c9dc64449efb04cd47110198c32,allow,3.14,0.4375,automation,,,129.5,28.8,4.3,0.1,14.6,9.6,
poisoning,s002,3,sim-eacdfda80c0fc59ba31b2831746ed65c,payee,2d95d91fcf504ac49ce8617a5610e68d,allow,8.18,0.5865,behaviour,,,123.5,31.9,5.2,0.1,16.1,10.2,
poisoning,s002,3,sim-eacdfda80c0fc59ba31b2831746ed65c,amount,55729a1b910a4f52addc1a14b5df6a0a,monitor,32.71,0.8798,behaviour,,,121.1,26.8,4.8,0.2,10.7,10.9,
poisoning,s002,3,sim-eacdfda80c0fc59ba31b2831746ed65c,confirmation,adfc146637824e4eb91d27b64d10fcd0,step_up,56.79,0.9135,behaviour,,awaiting_step_up,147.9,56.7,5.3,0.2,11.4,10.8,28.7
poisoning,s002,4,sim-1ca88dd4e527ecf86ac33c31425097a1,login,e82be95203b44823b55c02cf79755f44,allow,9.53,0.4375,behaviour,,,194.2,23.9,4.4,0.1,9.3,9.9,
poisoning,s002,4,sim-1ca88dd4e527ecf86ac33c31425097a1,payee,df088e8d04334a3cb42406ec985b27bb,monitor,29.94,0.5865,behaviour,,,159.3,23.5,4.1,0.1,9.0,10.1,
poisoning,s002,4,sim-1ca88dd4e527ecf86ac33c31425097a1,amount,fce4b7d2cf164314a330994c8eaf083e,step_up,54.36,0.8798,behaviour,,,162.8,25.9,5.1,0.2,10.4,10.0,
poisoning,s002,4,sim-1ca88dd4e527ecf86ac33c31425097a1,confirmation,af068a0918e34ce4a1c40577521b54c3,step_up,77.29,0.9135,behaviour,friction_ceiling,awaiting_step_up,238.3,61.6,5.2,0.3,22.1,9.3,24.5
genuine,s003,0,sim-40c510501823133889ccb15967715b8d,login,3806d03004364d5b80de8d167d74eaf1,allow,2.51,0.4375,automation,,,246.4,105.2,4.4,0.1,12.6,87.9,
genuine,s003,0,sim-40c510501823133889ccb15967715b8d,payee,98d437b93a1542e28c1b6f85338b5c9d,allow,2.74,0.5865,automation,,,133.5,36.3,3.9,0.1,17.5,14.6,
genuine,s003,0,sim-40c510501823133889ccb15967715b8d,amount,1fe288eeb3a046888dc2f9558d751e10,allow,1.39,0.8798,automation,,,151.5,26.5,4.4,0.2,13.1,8.6,
genuine,s003,0,sim-40c510501823133889ccb15967715b8d,confirmation,8e23940002424e91804e5f7c59164b98,allow,1.32,0.9135,automation,,processing,172.4,53.5,4.7,0.2,10.3,8.3,29.8
genuine,s003,1,sim-4cb75b8c044ae29db0d4559d5855a776,login,9edf1f72967840a8ac1067c7c9e94f94,allow,1.68,0.4375,automation,,,121.7,27.4,4.3,0.1,13.9,8.8,
genuine,s003,1,sim-4cb75b8c044ae29db0d4559d5855a776,payee,bebfcff1b9ed4ec7a4450c60cc6e97d0,allow,1.2,0.5865,automation,,,127.0,26.1,4.2,0.1,11.2,10.3,
genuine,s003,1,sim-4cb75b8c044ae29db0d4559d5855a776,amount,287a8cf4782a42e1be782e15bec18fb9,allow,0.36,0.8798,behaviour,,,141.4,27.2,4.7,0.2,13.4,8.7,
genuine,s003,1,sim-4cb75b8c044ae29db0d4559d5855a776,confirmation,7e68460977164a90a2a4153b0e35d24b,allow,0.32,0.9135,behaviour,,processing,160.3,59.4,5.2,0.2,16.7,8.3,28.8
genuine,s003,2,sim-3593c9d2a6cb983acdd6bbb09b34c869,login,396e789271c742989ccbf47e0983be7e,allow,3.07,0.4375,automation,,,115.4,21.4,4.0,0.1,8.8,8.3,
genuine,s003,2,sim-3593c9d2a6cb983acdd6bbb09b34c869,payee,0328f4435f3f4907b7c1fc8a8b988208,allow,3.14,0.5865,automation,,,141.1,31.8,4.3,0.1,16.4,10.8,
genuine,s003,2,sim-3593c9d2a6cb983acdd6bbb09b34c869,amount,330bb0048af342d0a4d4358134a230b9,allow,3.27,0.8798,behaviour,,,119.5,26.8,5.2,0.2,12.6,8.7,
genuine,s003,2,sim-3593c9d2a6cb983acdd6bbb09b34c869,confirmation,ab61ec905a304381a7432681b698aab3,allow,4.21,0.9135,behaviour,,processing,153.2,65.2,6.7,0.2,14.6,14.8,28.7
genuine,s003,3,sim-7df55021fd2d111732bcf95403453837,login,c43bad38cad443048d9504ed7e729c02,allow,2.83,0.4375,automation,,,119.6,22.9,4.1,0.1,9.9,8.7,
genuine,s003,3,sim-7df55021fd2d111732bcf95403453837,payee,87b287ae9cb642ce843010a988319461,allow,1.96,0.5865,automation,,,125.4,29.8,6.4,0.1,14.2,8.9,
genuine,s003,3,sim-7df55021fd2d111732bcf95403453837,amount,538604e135984954a7e6d7e273834c2b,allow,0.76,0.8798,automation,,,139.1,22.9,4.4,0.2,9.8,8.4,
genuine,s003,3,sim-7df55021fd2d111732bcf95403453837,confirmation,e3dbed54f772495b8585c24f6b9ec7f8,allow,0.6,0.9135,automation,,processing,171.5,62.4,5.0,0.2,18.6,8.8,29.5
genuine,s003,4,sim-7dbdf3d57515af652cf177ecce947452,login,5dbe134695e244df8aefa4c61d5fc857,allow,4.09,0.4375,behaviour,,,121.3,23.4,4.0,0.1,10.8,8.2,
genuine,s003,4,sim-7dbdf3d57515af652cf177ecce947452,payee,69c64365448a477281070c95165a4c5f,allow,4.93,0.5865,behaviour,,,122.7,25.9,4.5,0.1,12.2,8.9,
genuine,s003,4,sim-7dbdf3d57515af652cf177ecce947452,amount,8b1f806abdef46599ceacf087634fa59,allow,2.34,0.8798,behaviour,,,137.7,32.7,4.6,0.2,19.4,8.3,
genuine,s003,4,sim-7dbdf3d57515af652cf177ecce947452,confirmation,a9572a27d7a140e48ae140703c2488a0,allow,3.14,0.9135,behaviour,,processing,150.9,49.3,5.1,0.2,9.9,8.2,25.8
takeover,s003,0,sim-2c0b43fca1d2f3ef9de8c1931324f167,login,3f69c851857340d18484ddc6b3726faa,allow,16.01,0.4375,context,,,115.8,22.6,3.8,0.1,9.4,9.1,
takeover,s003,0,sim-2c0b43fca1d2f3ef9de8c1931324f167,payee,0ac553d6321d4f408ff84408aee72d2c,allow,10.1,0.5865,context,,,117.1,22.3,4.1,0.1,9.6,8.3,
takeover,s003,0,sim-2c0b43fca1d2f3ef9de8c1931324f167,amount,c283d63408b04a7f82946e4562dbd1df,step_up,95.19,0.8798,transaction,corroboration|checkpoint,,119.2,26.0,4.7,0.2,12.1,8.8,
takeover,s003,0,sim-2c0b43fca1d2f3ef9de8c1931324f167,confirmation,253ea5e85f5543b4a3e45c4d36e50aeb,restrict,95.2,0.9135,transaction,corroboration,under_review,162.1,60.1,7.5,0.2,10.4,9.7,32.1
takeover,s003,1,sim-7312c53cc508f7667694edb55e6e3ea8,login,2f41a664746f474095afe89d35ebdde8,allow,13.91,0.4375,context,,,162.4,38.0,4.1,0.1,17.4,16.1,
takeover,s003,1,sim-7312c53cc508f7667694edb55e6e3ea8,payee,21a757c8f531478f9a8635fe24fd2a4a,allow,11.31,0.5865,context,,,137.2,22.3,4.2,0.1,9.4,8.4,
takeover,s003,1,sim-7312c53cc508f7667694edb55e6e3ea8,amount,a31de9a2dc154bd793e7b0bd5b2d2d54,step_up,96.67,0.8798,transaction,corroboration|checkpoint,,137.4,29.6,4.7,0.2,15.9,8.7,
takeover,s003,1,sim-7312c53cc508f7667694edb55e6e3ea8,confirmation,1298eab0b3ad4e32a6ad555e414c3f55,restrict,96.42,0.9135,transaction,corroboration,under_review,167.9,55.9,4.7,0.2,13.7,9.0,28.1
takeover,s003,2,sim-773c380d16a739fdf6fad104d7bde7d4,login,7f075bee8a924150be3a79e7b55432cc,allow,12.98,0.4375,context,,,180.7,22.9,4.2,0.1,9.2,9.2,
takeover,s003,2,sim-773c380d16a739fdf6fad104d7bde7d4,payee,6d81205a7da943e58b6313584ac6c3ca,allow,10.59,0.5865,context,,,129.4,33.5,4.4,0.1,20.3,8.4,
